#,Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
2616,Establishment For Hotel Services,مؤسسة تميز الصفوة للخدمات الفندقيه,Makkah,10012305,Unclassified/Other,Active,297376
2617,Yasser Mutair Al-Fahmi General Contracting Establi,مؤسسة ياسر مطير الفهمي للمقاولات عامة,Makkah,10012304,Unclassified/Other,Active,298875
2618,Diyafat Alalam,شركة ضيافات العالم للاستثمار,Makkah,10012303,Unclassified/Other,Active,297577
2619,almasat almashair Company To operate hotels,شركة الماسة المشاعر لتشغيل الفنادق,Makkah,10012302,1-Star,Active,299175
2620,alqawafil Company Global lilmuqawalat shakhs wahid,شركة القوافل العالمية للمقاولات شخص واحد,Makkah,10012301,Unclassified/Other,Active,297477
2621,altatwir almuttahida Company Real Estate,شركة التطوير المتحدة العقارية,Makkah,10012300,Unclassified/Other,Active,298035
2622,Alqaswaa Travel and Tourism Company,شركة القصواء للسفر و السياحة,Makkah,10010872,1-Star,Active,271755
2623,Al Ain Homes Coma Trading Holding Comp,شركة منازل العين كوما التجارية  قابضة,Makkah,10010871,1-Star,Active,271655
2624,diafa almorouj company,شركة ضيافة المروج,Makkah,10010870,Unclassified/Other,Active,271659
2625,Loujain alfadiy Hotel,مؤسسة فندق لجين الفضي الفندقية,Madina,10010869,1-Star,Active,271735
2626,HOTEL NAJMAT ALQASWA,فندق نجمة القصواء,Madina,10010867,1-Star,Active,287996
2627,wurathat muhammad ibrahim mirah charitable trust,وقف ورثة محمد ابراهيم ميره,Makkah,10011680,Unclassified/Other,Active,293695
2628,Establishment of Abdallah bin Mohammed bin Ababaka,مؤسسة عبدالله بن محمد بن ابابكر اول للتجارة,Makkah,10011679,1-Star,Active,293151
2629,OMAR KHALID ALHARTHI Establishment,مؤسسة عمر خالد الحارثي,Makkah,10011678,Unclassified/Other,Active,293075
2630,dahiat alnuzhah Hostel For tourist lodges,نزل ضاحية النزهة للنزل السياحيه,Makkah,10011677,Unclassified/Other,Active,292457
2631,ABDULKARIM SAEED ALZAHRANI Establishment,مؤسسة عبدالكريم سعيد الزهراني,Makkah,10011676,Unclassified/Other,Active,293580
2632,Ruya Alandalus Company,شركة رؤيا الأندلس,Madina,10012047,1-Star,Active,294346
2633,al Arab al Haditha Establishment For Contracting,مؤسسة العرب الحديثة للمقاولات,Makkah,10012046,Unclassified/Other,Active,296975
2634,diar almultaqa Hotel Hotel,فندق ديار الملتقى الفندقية,Makkah,10012045,1-Star,Active,299781
2635,ABDULELAH ALI ALHAZMI Establishment Commercial,مؤسسة عبدالاله بن علي الحازمي التجارية,Makkah,10012044,Unclassified/Other,Active,294275
2636,khallal Establishment Real Estate,مؤسسة خلال العقارية,Makkah,10012043,Unclassified/Other,Active,294115
2637,Sky Alaziziyya Hotel,فندق سما العزيزية الفندقية,Makkah,10012042,Unclassified/Other,Active,297035
2638,Zahra Malhah Establishment,مؤسسة زهرة ملحة,Makkah,10012041,Unclassified/Other,Active,294616
2639,wahat albayt alaqariyah  Company,شركة واحة البيت العقارية شركة شخص واحد,Makkah,10012040,Unclassified/Other,Active,294266
2640,wahat albayt alaqariyah  Company,شركة واحة البيت العقارية شركة شخص واحد,Makkah,10012039,Unclassified/Other,Active,294095
2641,Safwat al Abrar Hotel For Tourist Accommodation,فندق صفوة الابرار للايواء السياحي,Makkah,10012038,Unclassified/Other,Active,294795
2642,tharawat almashair Company For Tourism,شركة ثروات المشاعر للسياحة,Makkah,10011990,Unclassified/Other,Active,293886
2643,Diyafat AlMuruj Company,شركة ضيافة المروج,Makkah,10011982,Unclassified/Other,Active,294215
2644,SAEED HASSAN ALZAHRANI Establishment,مؤسسة سعيد بن حسن الزهراني,Makkah,10011981,Unclassified/Other,Active,295835
2645,Alwaleed Saleh Alharbi Company Tourist,شركة الوليد صالح الحربي السياحية,Makkah,10011980,Unclassified/Other,Active,296615
2646,AlAmana AlTaawuniya Company For Trading,شركة الأمانة التعاونية للتجارة,Madina,10011979,1-Star,Active,294395
2647,Muwathiqoon Taybah Establishment For Contracting,مؤسسة موثقون طيبة للمقاولات,Makkah,10011978,Unclassified/Other,Active,293956
2648,Ambassadors of Reconstruction Foundation for Gener,مؤسسة سفراء الاعمار للمقاولات العامة,Makkah,10011976,Unclassified/Other,Active,294318
2649,ALBADR W ALFAJER HOTEL,فندق البدر والفجر الفندقية,Makkah,10011975,Unclassified/Other,Active,293942
2650,Nozol nawwaf,نزل نواف عبدالعزيز بن عبدالله العيسى,Makkah,10011973,Unclassified/Other,Active,294055
2651,NUHA MOHAMMEDFOZI YAMANI Establishment,مؤسسة نهى محمدفوزى يمانى,Makkah,10011972,Unclassified/Other,Active,294355
2652,Raafat Bin Ramzi Bin Mohammed Makki Al-Ketbi Hotel,فندق رأفت بن رمزى بن محمدمكى الكتبي الفندقية,Makkah,10012299,1-Star,Active,297718
2653,IMTINAN SULIMAN ALSHARIF,مؤسسة امتنان سليمان البركاتي الشريف للخدمات الفندقيه,Makkah,10012298,Unclassified/Other,Active,297635
2654,abna omar said abood bafel Company Ltd.,شركة أبناء عمر سعيد عبود بافيل المحدودة,Makkah,10012297,1-Star,Active,297275
2655,alruqi waltaqaddum Establishment For,مؤسسة الرقي والتقدم للخدمات العقارية,Makkah,10012296,Unclassified/Other,Active,297655
2656,nuzul nujum alawali lildiyafa alsiyahi Establishme,مؤسسة نزل نجوم العوالي للضيافة السياحي,Madina,10012295,Unclassified/Other,Active,299761
2657,Establishment For laundry,مؤسسة راكان راجح ضيف الله الكبكبي لغسيل الملابس,Makkah,10012294,Unclassified/Other,Active,297415
2658,nakhlat alaasima Establishment,مؤسسة نخلة العاصمة,Makkah,10012293,Unclassified/Other,Active,297556
2659,diyar alwaad Hostel For tourist lodges,نزل ديار الوعد للنزل السياحيه,Makkah,10012292,Unclassified/Other,Active,297536
2660,ajwa alhatim Company Hotel,شركة أجواء الحطيم الفندقية,Makkah,10012291,Unclassified/Other,Active,297355
2661,zahra alburhan Company for Hotel services,شركة زهرة البرهان للخدمات الفندقية,Makkah,10012290,Unclassified/Other,Active,297676
2662,nuzul abu mishal Establishment,مؤسسة نزل ابو مشعل,Makkah,10011675,Unclassified/Other,Active,292735
2663,Manazil Alrafidain Almasi Hotel,فندق منازل الرافدين الماسي,Makkah,10011674,Unclassified/Other,Active,292896
2664,Capital Homes Trading and Contracting Company Limi,شركة منازل العاصمه للتجارة والمقاولات المحدودة,Makkah,10011673,Unclassified/Other,Active,293115
2665,Noor AlSalam AlMuttahida Company Commercial,شركة نور السلام المتحدة التجارية,Makkah,10011672,Unclassified/Other,Active,293499
2666,Mawasim Alrawabi Hotel Hotel,فندق مواسم الروابي الفندقية,Makkah,10011670,Unclassified/Other,Active,292459
