Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
MIRAGE TIBA HOTEL,فندق مراج طيبة الفندقية,Madinah,10002031,1-Star,Active,235825
Tabah Towers Limited Company,شركة أبراج طابة المحدودة (شركة شخص واحد),Madinah,10001834,Unclassified/Other,Active,254975
Diyar Al Taqwa Hotel Operation Company,شركة ديار التقوى لتشغيل الفنادق  ذات مسئولية محدودة,Makkah,10006186,1-Star,Active,301815
maad touism company,شركة معاد العالمية الفندقية المحدودة,Makkah,10006217,4-Star,Active,52398
Al Ghadeer Ajyad Hotel,فندق الغدير أجياد الفندقية,Makkah,10002159,1-Star,Active,241146
Midan Hotel Company Branch,فرع شركة فندق ميدان الفندقية,Makkah,10000987,3-Star,Active,218655
Platinum First Hotel,فندق بلاتينيوم الاولى الفندقية,Madinah,10000739,1-Star,Active,258995
Nada Al Deafah hotel,فندق ندى الضيافة الفندقية,Makkah,10001870,2-Star,Active,213946
Al Dar Hotel,فندق الدار روافد الفندقية,Madinah,10000787,3-Star,Active,238827
Le Meridien Medina Hotel,فندق المدينة مريديان,Madinah,10000954,1-Star,Active,291235
Jabal Omar Hyatt Regency,فندق جبل عمر حياة ريجنسي,Makkah,10000596,5-Star,Active,219530
Ruqa Al-Walid Hotel,فندق رقي الوليد الفندقية,Makkah,10000724,1-Star,Active,248522
Aljoudhotel,فندق الجود,Makkah,10002226,3-Star,Active,244318
M Hotel Makkah by Millennium,فندق ام من ميلينوم فرع شركة النبلاء العالمية لاستثمارالعقاري,Makkah,10002236,Unclassified/Other,Active,220573
BATOUL AJYAD,شركة بتول اجياد الفندقية,Makkah,10001395,3-Star,Active,223461
Alzahraa Hotel,فندق الزهراء,Madinah,10002284,1-Star,Active,235897
Jood al makan serviced apartments,شقق جود المكان للشقق المخدومة,Madinah,10001674,2-Star,Active,269835
Shuail Batha Quraish Apartments for Residential Un,شقق شعيل بطحاء قريش للوحدات السكنية,Makkah,10001322,2-Star,Active,246586
Al Masa Private Limited Company,شركة الماسة الخاصة المحدودة,Makkah,10002510,3-Star,Active,219511
WINNER INN ALKHIER HOTEL,فندق وينر إن آلخير,Madinah,10001670,3-Star,Active,239175
Hotel Alebaa Hotel,فندق الإباء الفندقية,Makkah,10002124,3-Star,Active,218577
Aldyafa Alraqyah,شركة الضيافة الراقية الفندقية,Makkah,10002085,Unclassified/Other,Active,256696
Mujahed saaed Al shareef hotel,فندق مجاهد سعيد الشريف,Makkah,10002195,1-Star,Active,292555
Dar Al Ajyal,فندق دار الاجيآل الفندقية,Madinah,10002006,1-Star,Active,289115
Le MeridienTowers Makkah,فندق أبراج المريديان فرع الشركةالمتحدةللإستثماروالتطويرالعقاري المتحد,Makkah,10000557,3-Star,Active,33058
Rua Al Hijrah Hotel Services Company,شركة رؤى الهجرة للخدمات الفندقية,Madinah,10002136,2-Star,Active,239
Rua Al Hijrah Hotel Services Company,شركة رؤى الهجرة للخدمات الفندقية,Madinah,10002136,1-Star,Active,235760
AL MOKHTARA GOLDEN HOTEL,فندق المختارة الذهبي فرع شركة منازل المختارة التجارية,Madinah,10002245,Unclassified/Other,Active,258775
Romance Awan Hotel Services Company,شركة رومانس اوان للخدمات الفندقيه,Makkah,10001156,Unclassified/Other,Active,244596
Millennium Alaqeeq Company,شركة ميلينيوم العقيق,Madinah,10000755,4-Star,Active,248757
Mohammadia Alzahraa Hotel,فندق محمدية الزهراء الفندقية,Madinah,10001716,1-Star,Active,230901
Emaar Grand Hotel,فندق اعمار جراند الفندقية,Makkah,10002106,Unclassified/Other,Active,219627
Sama Al Samah Hotel,فندق سما السماح الفندقية,Makkah,10002567,1-Star,Active,197435
