Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
Elaf Hotel Company Elaf Taiba Hotel,شركة ايلاف للفنادق المحدودة فندق ايلاف طيبه,Madinah,10010763,4-Star,Active,287575
ALANDALUS PLAZA HOTEL,شركة الاندلس لصيانة وادارة وتشغيل الفنادق والقصور السكنيه,Madinah,10010982,1-Star,Active,288255
Aljawad Aladhim Hotel Hotel,فندق الجواد الأدهم الفندقية,Madinah,10011054,Unclassified/Other,Active,289258
Qamar Taybah Hostel For tourist lodges,نزل قمر طيبة للنزل السياحيه,Madinah,10011052,Unclassified/Other,Active,289095
Mabiet Taybah Serviced,شقق مبيت طيبة المخدومة,Madinah,10010657,2-Star,Active,269058
Atyaf Almasi Establishment Hotel,مؤسسة اطياف الماسي الفندقية,Madinah,10012264,Code 27,Active,297555
Zahra Wahid Hotel,فندق زهره واحد,Madinah,10011886,1-Star,Active,296122
Mehad Al MAdina Plus,فندق مهاد المدينة بلس الفندقية,Madinah,10011880,1-Star,Active,293477
Ruya Alandalus Company,شركة رؤيا الأندلس,Madinah,10013009,1-Star,Active,302095
Mushtaq Al Madinah Tourist Hostel,نزل مشتاق المدينة للنزل السياحية,Madinah,10010876,Unclassified/Other,Active,271896
Qadat Aldiyafat Company for Hotel Services,شركة قادة الضيافة للخدمات الفندقية,Madinah,10010874,1-Star,Active,271855
AFAQ SILA,شركة آفاق سيله للتشغيل والصيانة ,Madinah,10010942,1-Star,Active,289875
Makarem Burj Al Madinah Hotel,فندق مكارم برج المدينة الفندقية,Madinah,10011012,Unclassified/Other,Active,289455
Subl AlMunawara Hotel Company,شركة سبل المنورة الفندقية,Madinah,10011011,Unclassified/Other,Active,289856
Ishraq Almadain Almukhtalif For Tourist Hostel,نزل اشراق المدائن المختلف للنزل السياحية,Madinah,10010971,Unclassified/Other,Active,288275
Shams Al Madinah hostel Co,شركة شمس المدينة المحدودة,Madinah,10011512,Unclassified/Other,Active,291755
Alkeram Aljadid Hotel,مؤسسة فندق الكرام الجديد,Madinah,10010751,1-Star,Active,258715
afaq al marsa,شركة آفاق المرسى للتشغيل والصيانة ,Madinah,10010749,2-Star,Active,258695
Alhijaz Almasi Company To operate hotels,شركة الحجاز الماسي لتشغيل الفنادق,Madinah,10011160,Unclassified/Other,Active,289876
Regency View Hotel,شركة ريجنسي فيو الفندقية,Madinah,10011158,Unclassified/Other,Active,290375
Karam Al Hejaz Hotel,فندق كرم الحجاز الفندقية,Madinah,10002024,Unclassified/Other,Active,258795
Raed Wan Hostel,نزل رائد وان,Madinah,10011504,Unclassified/Other,Active,292855
Makin Hotel Company,شركة مكين الفندقية,Madinah,10011263,1-Star,Active,290495
AL ANSAR PLATINUM Hotel,فندق الانصار بلاتينوم,Madinah,10011262,1-Star,Active,290435
